album_id,album_name,album_type,artists,release_year,release_date,cover_album,total_tracks,available_markets,total_available_markets,album_uri
02w1xMzzdF2OJxTeh1basm,Fallen,album,Evanescence,2003,2003-01-01,https://i.scdn.co/image/25d08410eb1e3cadc3834f6de7dfed6bc8e277be,12,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:02w1xMzzdF2OJxTeh1basm
5SpQ4sf9sXFWHgUKYCZSDF,Anywhere But Home (Live),album,Evanescence,2004,2004-01-01,https://i.scdn.co/image/baa1db3acd78e252289618513899945055075ea5,14,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:5SpQ4sf9sXFWHgUKYCZSDF
5oi50Gv8yvqAqPbWDdZhYA,Elektra: The Album,compilation,Various Artists,2005,2005-01-01,https://i.scdn.co/image/9a8a5765f320549f0276ff5df8f9a11f1f4c9719,15,US,1,spotify:album:5oi50Gv8yvqAqPbWDdZhYA
3lFQ9ihSNR5YD0yi0yTzdC,The Open Door,album,Evanescence,2006,2006-01-01,https://i.scdn.co/image/bd3cdbd88ea146ba5bcc31738ae34471a7bc22a9,13,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:3lFQ9ihSNR5YD0yi0yTzdC
7soKb31c9JTxBllcJ0J2KT,Now! 12,compilation,Various Artists,2007,2007-01-01,https://i.scdn.co/image/91dfccfbd04e0fa65584890f7a28b4d425b391cf,18,CA,1,spotify:album:7soKb31c9JTxBllcJ0J2KT
5jc6tOSK9BpocWWQgFo8Md,ThriveMix Presents: DanceAnthems 2,compilation,Various Artists,2008,2008-01-01,https://i.scdn.co/image/44519ed0f23972ba24982c16019e587002350c5d,16,US,1,spotify:album:5jc6tOSK9BpocWWQgFo8Md
0anDTe9W7YJ82hIpJCsYft,iMusic1 Rocks,compilation,Various Artists,2009,2009-08-28,https://i.scdn.co/image/ab67616d0000b2733593d27a32a55026f41e493e,39,"AT,CH,DE",3,spotify:album:0anDTe9W7YJ82hIpJCsYft
65HdXCLpwIXZGt7kQe3bK6,Midnight Diaries,compilation,Various Artists,2010,2010-01-01,https://i.scdn.co/image/798538bdf6f3c63af2c198bcfecbea8b1311685c,36,MX,1,spotify:album:65HdXCLpwIXZGt7kQe3bK6
6HuLNUKcAkcIUSKZxRU9sO,Together Again,single,Evanescence,2010,2010-01-01,https://i.scdn.co/image/4b7da0b6ca9311f9e02cdd2b93d3928787d8752c,1,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:6HuLNUKcAkcIUSKZxRU9sO
3U85Q4GtR0I3VwgDOKHttO,Evanescence,album,Evanescence,2011,2011-01-01,https://i.scdn.co/image/660b8cc102ad45e105f8c591c7175bf96534ad01,12,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:3U85Q4GtR0I3VwgDOKHttO
