album_id,album_name,album_type,artists,release_year,release_date,cover_album,total_tracks,available_markets,total_available_markets,album_uri
6BMdKIrwWJ0kg1U0kz4EqZ,Memories,single,Within Temptation,2005,2005-01-31,https://i.scdn.co/image/ab67616d0000b27347611e012bb98c01bdc6ea5b,4,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",77,spotify:album:6BMdKIrwWJ0kg1U0kz4EqZ
4buqYJzynjkOnKAIdkAr2k,Bravo Hits Vol. 49,compilation,Various Artists,2005,2005-06-10,https://i.scdn.co/image/ab67616d0000b273d0ae6d7badda3d802e3bea08,42,"AE,AR,BH,BO,BR,CL,CO,CR,CY,DO,EC,EG,GB,GR,GT,HN,IE,IT,JO,JP,KW,LB,MT,MX,NI,OM,PA,PE,PS,PY,QA,SA,SE,SV,UY",35,spotify:album:4buqYJzynjkOnKAIdkAr2k
1C6LsaLe5jHhs5MbEC556n,Just The Best Vol. 52,compilation,Various Artists,2005,2005-07-15,https://i.scdn.co/image/ab67616d0000b273014024a5c3dc2997ae7bbbeb,40,"AD,AE,AR,AT,BH,BO,BR,CH,CL,CO,CR,CY,DO,DZ,EC,EG,FR,GB,GR,GT,HN,IE,IT,JO,JP,KW,LB,LI,MA,MC,MT,MX,NI,OM,PA,PE,PS,PY,QA,SA,SE,SV,TN,UY",44,spotify:album:1C6LsaLe5jHhs5MbEC556n
4GTAWyejCsSEQbXADPAiqA,What Have You Done (feat. Keith Caputo),single,Within Temptation,2007,2007-01-03,https://i.scdn.co/image/ab67616d0000b2731a4c982cfd97140a5370759a,2,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HN,HU,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,OM,PA,PE,PL,PS,PT,PY,QA,RO,SA,SE,SK,SV,TN,TR,UY,ZA",67,spotify:album:4GTAWyejCsSEQbXADPAiqA
6FEMqfzcDHvV918vpx8LKe,What Have You Done,single,Within Temptation,2007,2007-02-16,https://i.scdn.co/image/ab67616d0000b2737466ab36f0e837ac2742febf,3,"AR,AT,BO,BR,CH,CL,CO,CR,DE,DO,EC,GT,HN,LI,MX,NI,PA,PE,PY,SV,UY",21,spotify:album:6FEMqfzcDHvV918vpx8LKe
3WweYGpwPZWT6WFMsV0iad,The Heart Of Everything,album,Within Temptation,2007,2007-03-09,https://i.scdn.co/image/ab67616d0000b2736690b84f646fe61e6bfea537,11,"AR,AT,BO,BR,CH,CL,CO,CR,DK,DO,EC,ES,GB,GT,HN,IS,JP,LI,MX,NI,PA,PE,PY,SV,UY",25,spotify:album:3WweYGpwPZWT6WFMsV0iad
0X5oJQ6o4rTeAtunxjSF1x,The Heart of Everything,album,Within Temptation,2007,2007-03-09,https://i.scdn.co/image/ab67616d0000b2739da438eca0065b845ff1e5cc,14,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:0X5oJQ6o4rTeAtunxjSF1x
1kxMN3p0oJ41bdxqCUqUKU,What Have You Done (European Radio Version),single,Within Temptation,2007,2007-03-09,https://i.scdn.co/image/ab67616d0000b273732014bd7e66f2261f813e55,1,"AR,BO,BR,CA,CH,CL,CO,CR,DO,EC,GT,HN,JP,LI,MX,NI,PA,PE,PY,SV,UY",21,spotify:album:1kxMN3p0oJ41bdxqCUqUKU
0ZhkvLyotgvyRjDHJltzZ8,See Who I Am (Live),single,Within Temptation,2007,2007-03-30,https://i.scdn.co/image/ab67616d0000b27386af09b5b214c42089ee47f3,3,"IT,MT",2,spotify:album:0ZhkvLyotgvyRjDHJltzZ8
4ySG7JiwI3fmxxjtd6814c,Frozen,single,Within Temptation,2007,2007-06-22,https://i.scdn.co/image/ab67616d0000b273de9877f6996e0585b8570848,3,"AR,AT,BO,BR,CH,CL,CO,CR,DE,DO,EC,GT,HN,LI,MX,NI,PA,PE,PY,SV,UY",21,spotify:album:4ySG7JiwI3fmxxjtd6814c
