album_name,album_release_date,album_release_year,track_id,track_name,track_duration,track_popularity,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Evanescence (Deluxe Version),2011-01-01,2011,0Y4sMYBU1cX3I87wCCiNph,made of stone,213573,34,,0.418,0.909,8,-2.977,1,0.0829,0.00388,0.00321,0.201,0.529,81.042
Evanescence (Deluxe Version),2011-01-01,2011,0zRPZZVxmk5xht8TWjCxPk,the change,222346,34,,0.435,0.905,1,-4.276,1,0.0618,0.000318,0.000518,0.177,0.328,150.037
Evanescence (Deluxe Version),2011-01-01,2011,6M1tLxJkFULMF7A16ASKXI,my heart is broken,269160,38,,0.465,0.92,6,-4.368,1,0.084,6.38e-05,0.0527,0.562,0.233,96.433
Evanescence (Deluxe Version),2011-01-01,2011,2brk2ghshXUneoNlRGqzLb,the other side,245000,34,,0.433,0.91,5,-4.326,1,0.0931,0.000528,0.00085,0.172,0.432,161.853
Evanescence (Deluxe Version),2011-01-01,2011,4PEutqBWoJx2C9aO4tuwNF,erase this,235240,33,,0.455,0.97,0,-2.761,1,0.117,0.000187,1.1e-05,0.321,0.313,131.961
Evanescence (Deluxe Version),2011-01-01,2011,7M47csS1XBvTQ4LipbMdll,lost in paradise,282293,35,,0.266,0.571,8,-4.983,1,0.0376,0.0532,3.96e-06,0.073,0.104,113.059
Evanescence (Deluxe Version),2011-01-01,2011,71SgzOcizOn76Vt7wMcQ71,sick,210040,32,,0.367,0.874,2,-4.915,1,0.0516,0.000626,0.00112,0.0762,0.231,160.034
Evanescence (Deluxe Version),2011-01-01,2011,5Yg0f9XeDCGigWYd5Zizlq,the end of the dream,229146,33,,0.43,0.959,10,-3.905,0,0.0805,5.4e-05,0.00248,0.16,0.335,94.008
Evanescence (Deluxe Version),2011-01-01,2011,3vAcPaj7gkYBL2xEA2jymi,oceans,218226,33,,0.227,0.908,4,-2.993,1,0.0854,0.000562,0.00476,0.136,0.123,94.381
Evanescence (Deluxe Version),2011-01-01,2011,6QhVpLrz1GB1xJRa7Z80TO,never go back,267306,33,,0.296,0.969,0,-2.824,1,0.157,0.000326,0.0502,0.0904,0.104,123.33
Evanescence (Deluxe Version),2011-01-01,2011,6AEtinnOEoC6T2i5m6fbHe,swimming home,221386,32,,0.542,0.456,1,-8.754,1,0.0274,0.347,0.000557,0.0957,0.164,125.98
Evanescence (Deluxe Version),2011-01-01,2011,3UkDyGtriDY7NzOJbF0rIH,a new way to bleed,226400,45,,0.378,0.895,1,-4.347,1,0.0531,4.96e-05,0.0252,0.15,0.258,155.946
Evanescence (Deluxe Version),2011-01-01,2011,4cfoU2UXXsbES5qwvdLHCO,say you will,223280,44,,0.479,0.956,2,-3.596,1,0.0753,0.000883,2.14e-05,0.0716,0.389,131.997
Evanescence (Deluxe Version),2011-01-01,2011,0TVPq3QIYUYaD2LytckdPD,disappear,186946,46,,0.48,0.897,5,-3.032,0,0.0523,0.000241,6.02e-05,0.198,0.458,107.14
Evanescence (Deluxe Version),2011-01-01,2011,1ium9V09FUQ32Co0D3B6Dz,secret door,233346,37,,0.149,0.406,4,-7.666,0,0.0303,0.714,3.03e-05,0.0908,0.0591,168.851
The Open Door,2006-01-01,2006,7hlXiMxN81uctLsvbtHZ8x,sweet sacrifice,185533,54,,0.486,0.87,2,-4.947,1,0.0903,0.00679,3.15e-06,0.312,0.336,97.013
The Open Door,2006-01-01,2006,663Karu2rvKLdnY0eo1n3M,call me when you're sober,214706,65,,0.45,0.883,7,-4.094,1,0.0524,0.00193,0.0,0.293,0.328,93.41
The Open Door,2006-01-01,2006,1UfCIFhRr8Bci9LUJ68dvp,weight of the world,217960,49,,0.266,0.949,8,-3.941,1,0.132,0.000852,0.000831,0.131,0.39,140.145
The Open Door,2006-01-01,2006,5YaLFRpqpUzgLLDcukNn0H,lithium,224106,61,,0.483,0.631,10,-3.826,0,0.0356,0.214,0.0,0.0974,0.212,117.988
The Open Door,2006-01-01,2006,6Sh05fnlrLbMfSuI8Qur6a,cloud nine,262173,45,,0.125,0.893,3,-4.217,0,0.21,0.0432,8.48e-05,0.151,0.19,194.55
The Open Door,2006-01-01,2006,7uCzFZHGoVPlINC4fR24gV,snow white queen,262733,45,,0.505,0.835,9,-5.52,0,0.0737,0.0411,1.11e-05,0.0914,0.267,132.004
The Open Door,2006-01-01,2006,1M8YN6ekSgCnjc5UckHYpq,lacrymosa,217466,46,,0.439,0.775,4,-5.35,0,0.0727,0.00801,5.28e-05,0.104,0.194,136.973
The Open Door,2006-01-01,2006,21ceHLJfgyO9703AlzM4DU,like you,256973,44,,0.569,0.511,8,-7.255,1,0.0372,0.587,8.56e-05,0.181,0.124,102.907
