song_title,lyrics
i must be dreaming,How can I pretend that I don't see. What you hide so carelessly?. I saw her bleed. You heard me breathe. And I froze inside myself. And turned away. I must be dreaming. We all live. We all die. That does not begin to justify you. It's not what it seems. Not what you think. No I must be dreaming. It's only in my mind. Not in real life. No I must be dreaming. Help you know I've got to tell someone. Tell them what I know you've done. I fear you but spoken fears can come true. We all live. We all die. That does not begin to justify you. It's not what it seems. Not what you think. No I must be dreaming. It's only in my mind. Not in real life. No I must be dreaming. We all live. We all die. That does not begin to justify you. It's not what it seems. Not what you think. No I must be dreaming. It's only in my mind. Not in real life. No I must be dreaming. Not what it seems. Not what you think. I must be dreaming. Just in my mind. Not in real life. I must be dreaming
everybodys fool,perfect by nature. icons of self indulgence. just what we all need. more lies about a world that. never was and never will be. have you no shame don't you see me. you know you've got everybody fooled. look here she comes now. bow down and stare in wonder. oh how we love you. no flaws when you're pretending. but now I know she. never was and never will be. you don't know hou you've betrayed me. and somehow you've got everybody fooled. without the mask where will you hide. can't find yourself lost in your lie. I know the truth now. I know who you are. and I don't love you anymore. it never was and never will be. you don't know hou you've betrayed me. and somehow you've got everybody fooled. it never was en never will be. you're not real and you can't save me. somehow now you're everybody's fool.
exodus,"My black backpack stuffed with broken dreams. Twenty bucks should get me through the week. Never said a word of discontentment. Faught it a thousand times but now. I'm leaving home. Here in the shadows. I'm safe, I'm free. I've nowhere else to go. but I cannot stay where I don't belong. Two months pass by and it's getting cold. I know I'm not lost I'm just alone. But I won't cry, I won't give up, I can't go back now. Waking up is knowing who you really are. Here in the shadows. I'm safe, I'm free. I've nowhere else to go. but I cannot stay where I don't belong. In the shadows. I'm safe, I'm free. I've nowhere else to go. but I cannot stay here. Oh, show me the shadow where true meaning lies. So much more dismay in empty eyes."
imperfection,"The more you try to fight it. The more you try to hide it. The more infected, rejected, you feel alone inside it. You know you can't deny it. The world's a little more fucked up everyday. I'm gonna save you from it. Together we'll outrun it. Just don't give into the fear. So many things I would've told you If I knew that I was never gonna see you again. I wanna lift you up into the light that you deserve. I wanna take your pain into myself so you won't hurt. Don't you dare surrender. Don't leave me here without you. Cause I would never. Replace your perfect imperfection. The way you look us over. Your counterfeit composure. Pushing again and again and sinking lower and lower. The world is on its shoulders. Do you really know the weight of the words you say?. You want a little of it. You just can't let go of it. You've got an ego to feed. Too late to rise above it. Don't look now but the little girl's got a grenade. [Pre-Chorus 2:]. I'm gonna lift you up into the light you deserve. I'm gonna take you down to the real world so you can watch it burn. Don't you dare surrender. Don't leave me here without you. Cause I would never. Replace your perfect imperfection. We stand undefined. Can't be drawn with a straight line. This will not be our ending. We are alive, we are alive. Don't you dare surrender. Don't leave me here without you. Cause I would never. Replace your perfect imperfection. Don't you dare surrender. I'm still right beside you. And I would never. Replace your perfect imperfection"
my cartoon network,"I'm Robbie's sister. I guess that's plain to see. When we watch cartoons, cartoons. I'm happy as can be. I think samurai Jack's cool. And Dexter's laboratory. I miss watching Powerpuff. I miss watching TV. Well, living on the tourbus ain’t that bad. But I've feel like I've lost all that I had. Oh, Cartoon network. I miss you so. Oh, Cartoon Network. Where did you go?. Grim &amp; Evil, how I love that little brain. Johnny Bravo, can I smack you once again?. I hope you learned a lesson here. Treasure what you have. Don't make the mistake I made. The rockstar life is sad. Well living on a tour bus is... pretty bad. And now I'm sure I know. The meaning of my life. The love within my soul. The reason I wake up each day. And it's Cartoon Network. I miss you so. My Cartoon Network. Where did you go?. My Cartoon Network"
whisper,Catch me as I fall. Say you're here and it's all over now. Speaking to the atmosphere. No one's here and I fall into myself. This truth drive me. Into madness. I know I can stop the pain. If I will it all away. Don't turn away. (Don't give in to the pain). Don't try to hide. (Though they're screaming your name). Don't close your eyes. (God knows what lies behind them). Don't turn out the light. (Never sleep never die). I'm frightened by what I see. But somehow I know. That there's much more to come. Immobilized by my fear. And soon to be. Blinded by tears. I can stop the pain. If I will it all away. Don't turn away. (Don't give in to the pain). Don't try to hide. (Though they're screaming your name). Don't close your eyes. (God knows what lies behind them). Don't turn out the light. (Never sleep never die). Fallen angels at my feet. Whispered voices at my ear. Death before my eyes. Lying next to me I fear. She beckons me. Shall I give in. Upon my end shall I begin. Forsaking all I've fallen for. I rise to meet my end. Don't turn away. (Don't give in to the pain). Don't try to hide. (Though they're screaming your name). Don't close your eyes. (God knows what lies behind them). Don't turn out the light. (Never sleep never die)
what you want,"Do what you what you want, if you have a dream for better. Do what you what you want till you don’t want it anymore. (Remember who you really are). Do what you what you want. Your world’s closing in on you now. (It isn’t over). Stand and face the unknown. (got to remember who you really are). Every heart in my hands like a pale reflection. Hello, hello remember me. I’m everything you can’t control. Somewhere beyond the pain. There must be a way to believe we can break through. Do what you what you want. You don’t have to lay your life down. (It isn’t over). Do what you what you want. 'til You find what you’re looking for. (Got to remember who you really are). But every hour slipping by screams that I have failed you. Hello, hello remember me. I’m everything you can’t control. Somewhere beyond the pain there must be a way to believe. Hello, hello remember me?. I’m everything you can’t control. Somewhere beyond the pain there must be a way to believe. There’s still time. Close your eyes. Only love will guide you home. Tear down the walls and free your soul. 'til We crash we’re forever spiraling down, down, down, down. Hello, hello, it’s only me. Infecting everything you love. Somewhere beyond the pain there must be a way to believe. Hello, hello remember me. I’m everything you can’t control. Somewhere beyond the pain. here must be a way to learn forgiveness. Hello, hello remember me. I’m everything you can’t control. Somewhere beyond the pain. There must be a way to believe we can break through"
october,"I can't run anymore,. I fall before you,. Here I am,. I have nothing left,. Though I've tried to forget,. You're all that I am,. Take me home,. I'm through fighting it,. Broken,. Lifeless,. I give up,. You're my only strength,. Without you,. I can't go on,. Anymore,. Ever again.. My only hope,. (All the times I've tried). My only peace,. (To walk away from you). My only joy,. My only strength,. (I fall into your abounding grace). My only power,. My only life,. (And love is where I am). My only love.. I can't run anymore,. I give myself to you,. I'm sorry,. I'm sorry,. In all my bitterness,. I ignored,. All that's real and true,. All I need is you,. When night falls on me,. I'll not close my eyes,. I'm too alive,. And you're too strong,. I can't lie anymore,. I fall down before you,. I'm sorry,. I'm sorry.. My only hope,. (All the times I've tried). My only peace,. (To walk away from you). My only joy,. My only strength,. (I fall into your abounding grace). My only power,. My only life,. (And love is where I am). My only love.. Constantly ignoring,. The pain consuming me,. But this time it's cut too deep,. I'll never stray again.. My only hope,. (All the times I've tried). My only peace,. (To walk away from you). My only joy,. My only strength,. (I fall into your abounding grace). My only power,. My only life,. (And love is where I am). My only love,. My only hope,. (All the times I've tried). My only peace,. (To walk away from you). My only joy,. My only strength,. (I fall into your abounding grace). My only power,. My only life,. (And love is where I am). My only love."
farther away,"I took their smiles and I made them mine.. I,I sold my soul just to hide the light.. And now I see what I really am,. A thief a whore, and a liar.. I run to you,. Call out your name,. I see you there, father away.. I'm numb to you - numb and deaf and blind.. You give me all but the reason why.. I reach but I feel only air at night.. Not you, not love, just nothing.. I run to you,. Call out your name,. I see you there, father away.. Try to forget you,. But without you I feel nothing.. Don't leave me here, by myself.. I can't breathe.. I run to you,. Call out your name,. I see you there, father away.. I run to you,. Call out your name,. I see you there, father away,. Farther away,. Father away,. Father away,. Father away,. Father away."
my immortal,I'm so tired of being here. suppressed by all my childish fears. and if you have to leave. I wish that you would just leave. 'cause your presence still lingers here. and it won't leave me alone. these wounds won't seem to heal. this pain is just too real. there's just too much that time cannot erase. when you cried I'd wipe away all of your tears. when you'd scream I'd fight away all of your fears. and I've held your hand through all of these years. but you still have. all of me. you used to captivate me. by your resonating light. but now I'm bound by the life you left behind. your face it haunts my once pleasant dreams. your voice it chased away all the sanity in me. these wounds won't seem to heal. this pain is just too real. there's just too much that time cannot erase. when you cried I'd wipe away all of your tears. when you'd scream I'd fight away all of your fears. and I've held your hand through all of these years. but you still have. all of me. I've tried so hard to tell myself that you're gone. and though you're still with me. I've been alone all along. when you cried I'd wipe away all of your tears. when you'd scream I'd fight away all of your fears. and I've held your hand through all of these years. but you still have. all of me
